"ticker","datenr","pchange","wkchange","qtrchange","yrchange","ytdchange","currrating","prevrating","changeddate","suffix","suffixdays","volchange","dchange","prevsuffix","suffixchangeddate","weeksuffix","weekprevsuffix","weeksuffixchangeddate","weeksuffixdays","dailystoploss","weeklystoploss","dailystopbuy","weeklystopbuy","2wkchange","3wkchange","mthchange","monthlystopbuy","monthlystoploss","weekhigh","weeklow"
"CMCSA",240328,0.55,1.32,-1.85,17.2,-1.24,"Mkt Perform","Weak","240326","+",1,303.78,0.23,"","","-","","",1,42.69,42.45,43.09,43.49,1.25,1.7,1.06,47.11,40.74,,
"MRK",240328,-0.06,6.31,21.05,25.5,20.78,"Strong","Mkt Perform","240326","+",5,10.59,-0.08,"","","+","","",1,130.11,120.38,133.1,124.49,8.35,6.62,3.55,130.24,122.77,,
"DIS",240328,1.14,5.6,35.35,26.31,35.52,"Strong","Mkt Perform","240318","+",1,74.88,1.38,"","","+","","",1,120.02,112.29,122.03,117.66,9.3,10.91,9.66,112.92,95.82,,
"ORCL",240328,0.4,-1.58,18.37,38.79,19.29,"Mkt Perform","Strong","240321","-",5,-93.99,0.5,"","","-","","",1,124.47,126.49,127.82,132.77,0.18,11.88,12.62,117.79,106.51,,
"PM",240328,-0.53,0.95,-2.49,-3.15,-2.49,"Mkt Perform","Weak","240325","+",1,-55.32,-0.49,"","","-","","",1,90.69,90.83,92.28,95.92,-2.68,-1.01,1.98,93.29,88.3,,
"CSCO",240328,0.38,0.36,-1.03,-2.36,-1.11,"Mkt Perform","Weak","240304","+",1,-91.78,0.19,"","","+","","",62,49.41,48.94,49.9,50.19,2.11,0.93,3.29,50.61,47.85,,
"C",240328,0.81,4.01,22.79,37.67,22.98,"Strong","Mkt Perform","240326","+",1,155.13,0.51,"","","+","","",1,61.72,57.56,62.76,61.67,9.81,10,14,56.59,52.24,,
"IBM",240328,-0.02,-0.04,16.49,47.07,16.64,"Mkt Perform","Strong","240311","+",1,-72.41,-0.04,"","","-","","",1,188.6,190.01,190.96,193.98,-0.16,-2.65,3.1,188.95,178.75,,
"INTC",240328,0.83,3.68,-12.41,40.02,-12.17,"Mkt Perform","Weak","240326","+",1,-53.37,0.36,"","","+","","",1,42.5,41.41,43.83,43.6,3.51,0.31,2.52,45.27,41.6,,
"HSBC",240328,0.71,-0.65,-3.1,14.74,-3.15,"Weak","Mkt Perform","240328","+",1,-51.06,0.27,"","","+","","",1,38.94,38.34,39.16,39.74,2.76,4.87,0.22,40.93,37.11,,
